# old_path	new_category
agent-infrastructure/a2a-platform	agent-orchestration
agent-infrastructure/agent-task-tracker	agent-core
agent-infrastructure/anyone-proxy	agent-core
agent-infrastructure/autonomous-execution	agent-orchestration
agent-infrastructure/clawdhub-skill	media-processing
agent-infrastructure/clawlist	agent-core
agent-infrastructure/context-anchor	agent-core
agent-infrastructure/dgr	agent-core
agent-infrastructure/glin-profanity-mcp	security-compliance
agent-infrastructure/hello-agent-world	agent-core
agent-infrastructure/hello-world	agent-core
agent-infrastructure/ibt	agent-core
agent-infrastructure/interclaw	agent-orchestration
agent-infrastructure/mcporter-skill	integrations-connectors
agent-infrastructure/memory-tiering	agent-core
agent-infrastructure/mi-habilidad-nueva	agent-core
agent-infrastructure/recursive-self-improvement	agent-core
agent-infrastructure/shodh-local	agent-core
agent-infrastructure/task	agent-core
ai-agent-orchestration/a2a-hub	agent-orchestration
ai-agent-orchestration/apoer-agent-guardrail	security-compliance
ai-agent-orchestration/aws-agentcore-langgraph	agent-core
ai-agent-orchestration/brainstorming-2	agent-orchestration
ai-agent-orchestration/context-aware-delegation	agent-orchestration
ai-agent-orchestration/daily-oracle	agent-orchestration
ai-agent-orchestration/delegation	agent-orchestration
ai-agent-orchestration/dynamic-model-selector	agent-orchestration
ai-agent-orchestration/kalibr	agent-orchestration
ai-agent-orchestration/kimi-delegation-skill	agent-orchestration
ai-agent-orchestration/kindroid-interact	agent-orchestration
ai-agent-orchestration/llm-supervisor	agent-orchestration
ai-agent-orchestration/lygo-champion-401lyrakin-voice-between	agent-orchestration
ai-agent-orchestration/manipulation-detector	agent-orchestration
ai-agent-orchestration/rey-model-router	agent-orchestration
ai-agent-orchestration/smart-spawn	agent-orchestration
ai-agent-orchestration/ydc-claude-agent-sdk-integration	agent-orchestration
ai-agent-orchestration/zero-trust	security-compliance
ai-media-generation/clonev	media-generation
ai-media-generation/comfyui-tts	media-generation
ai-media-generation/deepdub-tts	media-generation
ai-media-generation/fal	media-generation
ai-media-generation/ffmpeg-cli	media-generation
ai-media-generation/ffmpeg-master	media-processing
ai-media-generation/free-groq-voice	media-processing
ai-media-generation/gemini-image-remix	media-generation
ai-media-generation/grok-image-cli	media-generation
ai-media-generation/image-and-video-generation-vydra	media-generation
ai-media-generation/image-router	agent-orchestration
ai-media-generation/lb-pocket-tts-skill	media-generation
ai-media-generation/livekit	media-generation
ai-media-generation/lunara-voice	media-generation
ai-media-generation/mac-tts	media-generation
ai-media-generation/macos-local-voice	media-generation
ai-media-generation/parakeet-mlx	media-processing
ai-media-generation/sarvam	media-generation
ai-media-generation/say	media-generation
ai-media-generation/speechall-cli	media-processing
ai-media-generation/table-image	media-generation
ai-media-generation/vision-sandbox	devops-cloud
ai-media-generation/vision-tagger	media-generation
ai-media-generation/vlmrun-cli-skill	media-generation
ai-media-generation/whisper-transcribe	agent-orchestration
ai-media-generation/yap	media-processing
ai-media-generation/yollomi	media-generation
automation/abm-outbound	business-operations
automation/airtable-automation	integrations-connectors
automation/apollo	business-operations
automation/basecamp-automation	integrations-connectors
automation/clawconnect	integrations-connectors
automation/cold-email	content-publishing
automation/composio-connect	integrations-connectors
automation/cpc-mpqc-competence-tracker-compliance-uk	productivity-personal
automation/customer-crm	productivity-personal
automation/dropshipping-mentor-nick-skill	business-operations
automation/finishing-a-development-branch	productivity-personal
automation/human-negotiator	content-publishing
automation/kakiyo	data-analytics
automation/pollclaw	productivity-personal
automation/quality-gate	devops-cloud
automation/reasoning-personas	productivity-personal
automation/receiving-code-review	developer-tools
automation/senior-dev	agent-core
automation/tokportal	data-analytics
automation/verification-checkpoint	agent-core
browser-automation/agent-browser-stagehand	browser-automation
browser-automation/autofillin	browser-automation
browser-automation/blankfiles	browser-automation
browser-automation/browser-automation-skill	browser-automation
browser-automation/browser-pc	browser-automation
browser-automation/browser-use-local	search-web
browser-automation/ddg	agent-core
browser-automation/ddg-web-search	search-web
browser-automation/exa	search-web
browser-automation/exa-search	search-web
browser-automation/flash-redeem-knight	browser-automation
browser-automation/gitclassic	browser-automation
browser-automation/links-to-pdfs	browser-automation
browser-automation/nl2ms-ui	browser-automation
browser-automation/riddle	browser-automation
browser-automation/stagehand-browser-cli	browser-automation
browser-automation/tinyfish-web-agent	browser-automation
browser-automation/web-form-automation	browser-automation
business-data-integration/backup-gog-20260213-121122	integrations-connectors
business-data-integration/camino-journey	travel-transport
business-data-integration/clawdiligence	finance-markets
business-data-integration/gog-jasmine	integrations-connectors
business-data-integration/intelligence-suite	data-analytics
business-data-integration/intomd	media-processing
business-data-integration/karakeep	business-operations
business-data-integration/m365-pnp-cli	integrations-connectors
business-data-integration/noopolis	business-operations
business-data-integration/office-secretary	productivity-personal
business-data-integration/pubmed2blog	content-publishing
business-data-integration/samsung-health	productivity-personal
business-data-integration/seo-autopilot	content-publishing
business-data-integration/vivid-business-account-opening	business-operations
business-integration/clawpify	business-operations
business-integration/hylo-ghl	business-operations
business-integration/karakeep-sh	business-operations
business-integration/ourproject-openclaw-skill	business-operations
business-integration/pamela-call	business-operations
business-integration/product-marketing-context	business-operations
business-integration/productboard-search	business-operations
business-integration/property-search	travel-transport
business-integration/research-idea	knowledge-research
business-integration/researchassistant	knowledge-research
business-integration/saas-orchestrator	agent-orchestration
business-integration/saas-worker	data-analytics
business-integration/salesforce-dx	business-operations
business-integration/salesforce-sdr-admin	business-operations
business-integration/talkspresso	productivity-personal
business-integration/wooclaw-lite	business-operations
cloud-network/aliyun-oss-upload	devops-cloud
cloud-network/host-ping-detect	devops-cloud
cloud-network/mfa-word	security-compliance
cloud-network/say-xiaoai	devops-cloud
cloud-network/sparkle-vpn	devops-cloud
cloud-network/win-mouse-native	knowledge-research
communication-email/ai-conversation-summary	agent-core
communication-email/chat-conversation-summary	agent-core
communication-email/dada-conv-summary	agent-core
communication-email/dada-conversation-summary	agent-core
communication-email/elevenlabs-transcribe	media-processing
communication-email/gmail-client	communication-messaging
communication-email/himalaya	communication-messaging
communication-email/himalaya-cli	communication-messaging
communication-email/meetgeek	communication-messaging
communication/avatar	media-generation
communication/cma-email	communication-messaging
communication/communication-mqtt	communication-messaging
communication/custom-smtp-sender	communication-messaging
communication/discord-chat	communication-messaging
communication/dm-bot	communication-messaging
communication/feishu-leave-request	communication-messaging
communication/flomo-notes	communication-messaging
communication/gog-html-email	communication-messaging
communication/gowa	communication-messaging
communication/humanize-zh	communication-messaging
communication/imap-email	communication-messaging
communication/imap-smtp-email	communication-messaging
communication/juejin-article-trends	communication-messaging
communication/katok	communication-messaging
communication/lark-bot-listener	communication-messaging
communication/lark-custom-bot	communication-messaging
communication/liveavatar	media-generation
communication/localsend	communication-messaging
communication/mailchannels	communication-messaging
communication/news-summary	knowledge-research
communication/ocft	communication-messaging
communication/olvid-channel	communication-messaging
communication/openclaw-skills-newsboat	knowledge-research
communication/outlook-email	communication-messaging
communication/pamela-calls	business-operations
communication/pocketalert	communication-messaging
communication/protonmail	communication-messaging
communication/remindme	communication-messaging
communication/send-email	communication-messaging
communication/send-email-2	communication-messaging
communication/signal-cli	communication-messaging
communication/signl4	communication-messaging
communication/style-polisher	communication-messaging
communication/tamil-whatsapp	communication-messaging
communication/telegram-ascii-table	communication-messaging
communication/teltel-send-sms-text-message	communication-messaging
communication/temp-mail	communication-messaging
communication/tt	communication-messaging
communication/vexa	media-processing
communication/wechat-article-search	communication-messaging
communication/whats	communication-messaging
communication/whatsmolt	content-publishing
communication/whisper	agent-orchestration
communication/whiss	communication-messaging
communication/zulip	communication-messaging
content-media/auteng-docs-curl-publish	content-publishing
content-media/bilibili-update-viewer	knowledge-research
content-media/cctv-news-fetcher	knowledge-research
content-media/daily-dxc-briefing	knowledge-research
content-media/daily-news	knowledge-research
content-media/deepread	media-processing
content-media/markdown-publish-share	content-publishing
content-media/moltbook-cli-tool	content-publishing
content-media/pandoc-convert-openclaw	media-processing
content-media/paper-parse	knowledge-research
content-media/ppt-generator	media-generation
content-media/ralph-loop-writer	developer-tools
content-media/resume-builder	content-publishing
content-media/slidespeak	media-generation
content-media/solobuddy	content-publishing
content-media/test-materials	developer-tools
content-media/toutiao-news-trends	knowledge-research
content-media/zerox	media-processing
content-social/agent-voice	content-publishing
content-social/baoyu-post-to-x	content-publishing
content-social/bot-debate	content-publishing
content-social/botmadang	content-publishing
content-social/chaterimo-openclaw-skill	communication-messaging
content-social/chirp	browser-automation
content-social/clawdbites	media-processing
content-social/clawstin	content-publishing
content-social/coconala-seller	content-publishing
content-social/email-marketing-copy	communication-messaging
content-social/giphy	communication-messaging
content-social/hotmention	content-publishing
content-social/instaclaw	media-generation
content-social/instagram-poster	browser-automation
content-social/instapaper	content-publishing
content-social/job-description	content-publishing
content-social/klawdin	content-publishing
content-social/korean-claw	content-publishing
content-social/linkedin-automation	content-publishing
content-social/linkedin-scraper	content-publishing
content-social/nonopost	content-publishing
